"An error occurred while clearing the external full page cache.","Ocurrió un error mientras se limpiaba la caché de página completa externa"
"Cookie Lifetime (seconds)","Duración de las cookies (en segundos)"
"Enable External Cache","Habilitar caché externa"
"External Cache Control","Control de caché externa"
"External Full Page Cache Settings","Configuración de la caché de página completa externa"
"External Page Cache","Caché de página externa"
"External full page cache.","Caché de página completa externa."
"Failed to load external cache control","Fallo al cargar el control de caché externa"
"Flush External Page Cache","Borrar caché de página externa"
"If empty, default value will be used.","Si está vacío, se usará el valor por defecto."
"The external full page cache has been cleaned.","La caché de página completa externa se ha limpiado."
"Zend Full Page Cache","Caché de página completa Zend"
