"Alert Email Sender","Alerta de correo electrónico del remitente"
"Alert subscription has been saved.","Alerta de suscripción guardada."
"Allow Alert When Product Comes Back in Stock","Avisar cuando el artículo vuelva a estar en existencias."
"Allow Alert When Product Price Changes","Permitir aviso cuando el precio del artículo cambie"
"Click here not to receive alerts for this product","Hacer click aquí para no recibir alertas para este artículo"
"Error Email Recipient","Error en el destinatario del mensaje"
"Error Email Sender","Error en el remitente del mensaje"
"Error Email Template","Error en la plantilla del mensaje"
"Frequency","Frecuencia"
"Not enough parameters.","Parámetros insuficientes."
"Price Alert Email Template","Plantilla de correo eléctronico de alerta de precio"
"Price:","Precio:"
"Product Alerts","Alertas de artículo"
"Product Alerts Run Settings","Configuración de la función de alertas de artículo"
"Product alerts Cron error","Error de cron de las alertas de artículo"
"Product price alert","Alerta de precio del artículo"
"Product stock alert","Alerta de artículo en existencias"
"Regular Price:","Precio Habitual:"
"Sign up for price alert","Incribirse para alerta de precio"
"Sign up to get notified when this product is back in stock","Inscríbase para ser notificado cuando este artículo vuelva a estar en existencias"
"Special price:","Precio especial:"
"Start Time","Tiempo de inicio"
"Stock Alert Email Template","Plantilla de correo electrónico de alerta de existencias"
"The alert subscription has been deleted.","La suscripción de alerta ha sido borrada."
"The alert subscription has been saved.","La suscripción de alerta ha sido guardada."
"The product is not found.","No se encontró el artículo."
"The product was not found.","No se encontró el artículo."
"Unable to update the alert subscription.","Imposible actualizar la suscripción de alerta."
"Unsubscribe from all price alerts","Darse de baja de todas las alertas de precio"
"Unsubscribe from all stock alerts","Darse de baja de todas las alertas de existencias"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Usted está recibiendo esta notificación porque está suscrito para recibir alertas cuando los siguientes artículos vuelvan a estar en existencias:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Usted está recibiendo esta notificación porque está suscrito para recibir alertas cuando los precios de los siguientes artículos cambien:"
"You will no longer receive price alerts for this product.","Usted no recibirá más alertas de precio para este artículo."
"You will no longer receive stock alerts for this product.","Usted no recibirá más alertas de existencias para este artículo."
"You will no longer receive stock alerts.","Usted no recibirá más alertas de existencias."
