"%s - Discounts and Coupons","%s - Descuentos y cupones"
"%s - Special Products","%s - Artículos especiales"
"%s RSS Feed","Fuente RSS de %s"
"%s has reached a quantity of %s.","%s ha alcanzado una cantidad de %s"
"%s\'s Wishlist","%s's Lista"
"Admin Catalog","Admin Catálogo"
"Admin Order","Admin Pedidos"
"Cannot retrieve the wishlist","No se puede recuperar la lista de regalos"
"Catalog","Catálogo"
"Category Feeds","Fuentes por categoría"
"Click for price","Clic para precio"
"Comment: %s<br/>","Comentario: %s<br/>"
"Coupons/Discounts","Cupones/descuentos"
"Current Status: %s<br/>","Estado actual: %s<br/>"
"Customer Name: %s","Estado actual: %s"
"Customer Order Notification","Notificación del pedido del cliente"
"Customer Order Status Notification","Notificación de estado de pedido del cliente"
"Details for %s #%s","Detalles para %s n.º %s"
"Discount","Descuento"
"Discount (%s)","Descuento (%s)"
"Enable RSS","Activar RSS"
"Error in processing xml. %s","Error al procesar xml. %s"
"From:","Desde:"
"Get Feed","Obtener fuente"
"Gift Message","Mensaje de regalo"
"Grand Total","Suma total"
"Low Stock Products","Artículos con baja cantidad en inventario"
"Message:","Mensaje:"
"Miscellaneous Feeds","Fuentes varias"
"New Order Notification","Notificación de un nuevo pedido"
"New Orders","Nuevos pedidos"
"New Products","Nuevos artículos"
"New Products from %s","Nuevos pedidos de %s"
"Notified Date: %s<br/>","Fecha de notificación: %s<br/>"
"Order","Pedido"
"Order # %s Notification(s)","Notificaciones del pedido n.º %s"
"Order #%s created at %s","El pedido n.º %s se creó a las %s"
"Pending product review(s)","Reseñas pendientes para el artículo"
"Product: ""%s"" review By: %s","Artículo: valoración ""%s"" de: %s"
"Product: <a href=""%s"">%s</a> <br/>","Artículo: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Artículos etiquetados con %s"
"Purchased From: %s","Comprados a %s"
"RSS","RSS"
"RSS Feeds","Fuentes RSS"
"RSS Feeds List","Lista de fuentes RSS"
"RSS Feeds Section","Sección de fuentes RSS"
"Review Notification","Notificación de revisión"
"Review: %s <br/>","Reseña: %s <br/>"
"Rss Config","Configuración de RSS"
"Shipping &amp; Handling","Envío y preparación"
"Special Products","Artículos especiales"
"Stock Notification","Notificación de existencias"
"Store: %s <br/>","Tienda: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Resumen de reseña: %s <br/>"
"Tags Products","Etiquetas de artículos"
"Tax","Impuestos"
"There are no Rss Feeds","No hay fuentes RSS"
"To:","A:"
"Top Level Category","Categoría de nivel superior"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Lista de deseos"
"click <a href=""%s"">here</a> to view the review","haga clic <a href=""%s"">aquí</a> para ver la valoración"
