" for more information or "," para más información o "
" for more information or email us at "," para más información o escríbanos a "
"# of Items (and above)","Nº de elementos (o más)"
"# of Items vs. Destination","Nº de elementos vs. destino"
"Allow Shipping to Multiple Addresses","Permitir envío a varias direcciones"
"An error occurred while import table rates.","Ha habido un error al importar los índices de las tablas."
"Best Way","Mejor manera"
"Calculate Handling Fee","Calcular el gastos de envío"
"Carrier:","Transportista:"
"City","Ciudad"
"Close Window","Cerrar la ventana"
"Condition","Condición"
"Country","País"
"Custom Value","Valor personalizado"
"Date","Fecha"
"Delivered on:","Entregado el:"
"Delivered to:","Entregado a:"
"Description","Descripción"
"Displayed Error Message","Mensaje de error mostrado"
"Divide to equal weight (one request)","Dividir al mismo peso (una petición)"
"Duplicate Row #%s (Country ""%s"", Region/State ""%s"", Zip ""%s"" and Value ""%s"").","Duplicar fila nº %s (País ""%s"", Región/Estado ""%s"", Código Postal ""%s"" y Valor ""%s"")."
"Enabled","Habilitado"
"Error:","Error:"
"Export","Exportar"
"File has not been imported. See the following list of errors: %s","No se ha importado el fichero. Vea la siguiente lista de errores: %s"
"Fixed","Fijo"
"Flat Rate","Tarifa plana"
"Free Shipping","Transporte gratuito"
"Google Sitemap Section","Sección Mapa del Sitio Google"
"Handling Fee","Gastos de tramitación"
"Import","Importar"
"Include Virtual Products in Price Calculation","Includir artículos virtuales a la calculación del precio"
"Info:","Información:"
"Invalid %s ""%s"" in the Row #%s."," %s ""%s"" inválido en la fila nº %s"
"Invalid Country ""%s"" in the Row #%s.","País inválido ""%s"" en la fila nº %s"
"Invalid Region/State ""%s"" in the Row #%s.","Región/Estado inválido ""%s"" en la fila nº %s"
"Invalid Shipping Price ""%s"" in the Row #%s.","Precio de transporte inválido ""%s"" en la fila nº %s"
"Invalid Table Rate code for type %s: %s","No válido: Tabla de costes para tipo %s: %s"
"Invalid Table Rate code type: %s","No válido: Tipo de código de la tabla de costes %s"
"Invalid Table Rates File Format","No válido: Formato del archivo de la tabla de costes"
"Invalid Table Rates format in the Row #%s","Formateo inválido de la tabla de costes en la fila nº %s"
"Local Time","Hora local"
"Location","Ubicación"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Cantidad máxima permitida para el envío a varias direcciones"
"Method Name","Nombre del método"
"Minimum Order Amount","Pedido mínimo"
"N/A","N/D"
"None","ninguno"
"Options","Opciones"
"Order Subtotal (and above)","Subtotal del pedido (y superior)"
"Origin","Origen"
"Per Order","Por pedido"
"Per Package","Por paquete"
"Percent","Porcentaje"
"Price","Precio"
"Price vs. Destination","Valor del carrito vs. destino"
"Region/State","Región/Provincia"
"Service Type:","Tipo de servicio:"
"Ship to Applicable Countries","Envío a países aplicables"
"Ship to Specific Countries","Envío a países específicos"
"Shipment #","Envío nº "
"Shipment Tracking Popup","Seguimiento de envío Popup"
"Shipped or billed on:","Enviado o facturado el:"
"Shipping Methods","Métodos de envío"
"Shipping Methods Section","Métodos de envío"
"Shipping Settings","Ajustes de envío"
"Shipping Settings Section","Ajustes de envío"
"Show Method if Not Applicable","Mostrar el método de envío, incluso si no se aplica"
"Signed by:","Firmado por:"
"Sort Order","Secuencia de clasificación"
"Status:","Estado:"
"Store Pickup","Se recoge en tienda"
"Street Address","Dirección postal (Calle, Nº de Casa, Código Postal)"
"Street Address Line 2","Dirección postal, segunda línea"
"Table Rates","Tarifa basada en tablas"
"The shipping module is not available for selected delivery country.","El módulo de envío no está disponible para el país de entrega seleccionado."
"The shipping module is not available.","El módulo de envío no está disponible."
"There is no tracking available for this shipment.","No se dispone de seguimiento para este envío."
"There is no tracking available.","No se dispone de seguimiento."
"This shipping method is currently unavailable. If you would like to ship using this shipping method, please contact us.","Este método de envío actualmente no está disponible. Si desearía usar este método para sus envíos, póngase en contacto con nosotros."
"This shipping method is not available, please specify ZIP-code","Este método de envío no está disponible. Por favor, especifique el código postal."
"Title","Título"
"Track:","Seguimiento:"
"Tracking Information","Información de seguimiento"
"Tracking Number:","Número de seguimiento:"
"Tracking information is currently not available. Please ","La información de seguimiento actualmente no está disponible. Por favor "
"Tracking information is currently unavailable.","La información de seguimiento actualmente no está disponible."
"Type","Tipo"
"Use origin weight (few requests)","Utilizar peso original (pocas peticiones)"
"Weight (and above)","Peso (y más)"
"Weight vs. Destination","Peso vs. destino"
"Weight:","Peso:"
"ZIP/Postal Code","Código Postal"
"contact us","contáctenos"
"email us at ","envíenos un email a "
